店舗:,栃木県人妻桜
日付,時間,出勤数,待機
2023-05-16,07:13,1,1
2023-05-16,08:13,6,1
2023-05-16,10:15,6,2
2023-05-16,11:33,6,4
2023-05-16,12:15,6,4
2023-05-16,13:17,6,3
2023-05-16,14:13,6,4
2023-05-16,15:18,6,1
2023-05-16,16:13,6,4
2023-05-16,17:18,6,4
2023-05-16,18:14,6,5
2023-05-16,19:15,6,6
2023-05-16,20:11,6,5
2023-05-16,21:31,6,6
2023-05-16,22:17,6,6
2023-05-16,23:13,6,6
2023-05-17,00:14,4,4
2023-05-17,01:18,1,1
2023-05-17,02:12,1,1
2023-05-17,03:17,1,1
2023-05-17,04:11,1,1
2023-05-17,05:15,1,1
2023-05-17,06:12,1,1
2023-05-17,07:13,1,1
2023-05-17,08:13,7,1
2023-05-17,10:16,7,2
2023-05-17,11:32,7,5
2023-05-17,12:15,7,6
2023-05-17,13:17,7,5
2023-05-17,14:13,7,6
2023-05-17,15:18,7,6
2023-05-17,16:13,7,4
2023-05-17,17:18,7,4
2023-05-17,18:14,7,7
2023-05-17,19:15,6,6
2023-05-17,20:11,6,2
2023-05-17,21:28,5,4
2023-05-17,22:17,5,4
2023-05-17,23:13,5,5
2023-05-18,00:14,3,3
2023-05-18,01:18,1,1
2023-05-18,02:12,1,1
2023-05-18,03:17,1,1
2023-05-18,04:11,1,1
2023-05-18,05:14,1,1
2023-05-18,06:12,1,1
2023-05-18,07:13,1,1
2023-05-18,08:13,7,1
2023-05-18,10:14,7,2
2023-05-18,11:31,7,4
2023-05-18,12:15,7,5
2023-05-18,13:17,7,5
2023-05-18,14:13,8,5
2023-05-18,15:19,8,5
2023-05-18,16:13,8,4
2023-05-18,17:17,8,4
2023-05-18,18:13,7,5
2023-05-18,19:14,7,6
2023-05-18,20:11,7,5
2023-05-18,21:29,7,6
2023-05-18,22:17,7,7
2023-05-18,23:13,7,7
2023-05-19,00:14,6,6
2023-05-19,01:18,1,1
2023-05-19,02:12,1,1
2023-05-19,03:17,1,1
2023-05-19,04:11,1,1
2023-05-19,05:15,1,1
2023-05-19,06:12,1,1
2023-05-19,07:13,1,1
2023-05-19,08:14,10,1
2023-05-19,10:15,10,2
2023-05-19,11:32,10,5
2023-05-19,12:15,10,7
2023-05-19,13:17,10,8
2023-05-19,14:13,10,8
2023-05-19,15:18,9,6
2023-05-19,16:12,9,6
2023-05-19,17:17,9,7
2023-05-19,18:13,9,7
2023-05-19,19:15,9,8
2023-05-19,20:11,9,6
2023-05-19,21:27,8,7
2023-05-19,22:17,8,8
2023-05-19,23:12,8,8
2023-05-20,00:14,6,6
2023-05-20,01:18,1,1
2023-05-20,02:12,1,1
2023-05-20,03:17,1,1
2023-05-20,04:11,1,1
2023-05-20,05:14,1,1
2023-05-20,06:12,1,1
2023-05-20,07:13,1,1
2023-05-20,08:14,11,1
2023-05-20,10:12,11,4
2023-05-20,11:29,11,8
2023-05-20,12:14,10,5
2023-05-20,13:16,10,7
2023-05-20,14:13,9,7
2023-05-20,15:17,9,7
2023-05-20,16:12,8,3
2023-05-20,17:16,8,7
2023-05-20,18:12,10,7
2023-05-20,19:14,9,8
2023-05-20,20:11,9,7
2023-05-20,21:26,8,8
2023-05-20,22:15,7,7
2023-05-20,23:12,7,7
2023-05-21,00:13,5,5
2023-05-21,01:17,1,1
2023-05-21,02:11,1,1
2023-05-21,03:16,1,1
2023-05-21,04:10,1,1
2023-05-21,06:11,1,1
2023-05-21,07:12,1,1
2023-05-21,08:13,1,1
2023-05-21,10:20,9,1
