店舗:,岐阜県Zero学園
日付,時間,出勤数,待機
2023-05-16,07:13,1,1
2023-05-16,08:13,1,1
2023-05-16,10:15,1,1
2023-05-16,11:33,1,1
2023-05-16,12:15,1,1
2023-05-16,13:17,9,6
2023-05-16,14:13,11,5
2023-05-16,15:18,11,5
2023-05-16,16:13,11,5
2023-05-16,17:18,11,3
2023-05-16,18:14,11,6
2023-05-16,19:15,10,6
2023-05-16,20:11,10,3
2023-05-16,21:31,9,3
2023-05-16,22:17,7,6
2023-05-16,23:13,7,5
2023-05-17,00:14,7,6
2023-05-17,01:18,7,7
2023-05-17,02:12,1,1
2023-05-17,03:17,1,1
2023-05-17,04:11,1,1
2023-05-17,05:15,1,1
