店舗:,神奈川クラブFG
日付,時間,出勤数,待機
2023-05-03,01:19,1,1
2023-05-03,02:13,1,1
2023-05-03,03:18,1,1
2023-05-03,04:12,1,1
2023-05-03,05:15,1,1
2023-05-03,06:12,3,3
2023-05-03,07:13,3,3
2023-05-03,08:14,3,3
2023-05-03,10:15,7,7
2023-05-03,11:30,7,7
2023-05-03,12:15,8,8
2023-05-03,13:17,8,8
2023-05-03,14:13,8,8
2023-05-03,15:18,9,9
2023-05-03,16:14,10,9
2023-05-03,17:18,11,11
2023-05-03,18:14,11,11
2023-05-03,19:15,9,9
2023-05-03,20:12,9,8
2023-05-03,21:29,8,8
2023-05-03,22:17,7,7
2023-05-03,23:13,6,5
2023-05-04,00:15,1,1
2023-05-04,01:19,1,1
2023-05-04,02:12,1,1
2023-05-04,03:17,1,1
2023-05-04,04:11,1,1
2023-05-04,05:15,1,1
2023-05-04,06:13,5,5
2023-05-04,07:14,5,5
2023-05-04,08:14,5,5
2023-05-04,10:12,8,7
2023-05-04,11:30,8,7
2023-05-04,12:15,8,8
2023-05-04,13:17,8,8
2023-05-04,14:13,8,8
2023-05-04,15:18,10,9
2023-05-04,16:14,9,7
2023-05-04,17:18,9,8
2023-05-04,18:14,10,10
2023-05-04,19:15,8,8
2023-05-04,20:12,8,6
2023-05-04,21:28,7,6
2023-05-04,22:18,6,6
2023-05-04,23:13,5,5
2023-05-05,00:15,1,1
2023-05-05,01:28,1,1
2023-05-05,02:12,1,1
2023-05-05,03:18,1,1
2023-05-05,04:11,1,1
2023-05-05,05:15,1,1
2023-05-05,06:12,5,5
2023-05-05,07:13,5,5
2023-05-05,08:15,5,5
2023-05-05,10:07,7,7
2023-05-05,11:29,7,7
2023-05-05,12:15,7,7
2023-05-05,13:17,7,7
2023-05-05,14:13,7,7
2023-05-05,15:19,8,8
2023-05-05,16:13,8,8
2023-05-05,17:17,8,7
2023-05-05,18:14,11,11
2023-05-05,19:15,11,9
2023-05-05,20:12,11,10
2023-05-05,21:27,10,9
2023-05-05,22:17,9,6
2023-05-05,23:13,6,2
2023-05-06,00:14,1,1
2023-05-06,01:19,1,1
2023-05-06,02:12,1,1
2023-05-06,03:17,1,1
