店舗:,富山県ウィズ
日付,時間,出勤数,待機
2023-05-16,07:13,1,1
2023-05-16,08:13,1,1
2023-05-16,10:15,1,1
2023-05-16,11:33,1,1
2023-05-16,12:15,1,1
2023-05-16,13:17,1,1
2023-05-16,14:13,12,12
2023-05-16,15:18,12,12
2023-05-16,16:13,12,12
2023-05-16,17:18,14,10
2023-05-16,18:14,14,10
2023-05-16,19:15,14,10
2023-05-16,20:11,14,10
2023-05-16,21:31,14,9
2023-05-16,22:17,14,9
2023-05-16,23:13,14,11
2023-05-17,00:14,13,11
2023-05-17,01:18,13,13
2023-05-17,02:12,12,12
2023-05-17,03:17,11,11
2023-05-17,04:11,1,1
2023-05-17,05:15,1,1
2023-05-17,06:12,1,1
2023-05-17,07:13,1,1
2023-05-17,08:13,1,1
2023-05-17,10:16,1,1
