店舗:,Fの法則
日付,時間,出勤数,待機
2023-11-01,01:13,0,0
2023-11-01,02:09,0,0
2023-11-01,03:13,0,0
2023-11-01,04:09,0,0
2023-11-01,05:10,0,0
2023-11-01,06:08,0,0
2023-11-01,07:09,0,0
2023-11-01,08:09,0,0
2023-11-01,09:50,0,0
2023-11-01,10:52,0,0
2023-11-01,11:21,0,0
2023-11-01,12:11,0,0
2023-11-01,13:12,0,0
2023-11-01,14:10,0,0
2023-11-01,15:14,0,0
2023-11-01,16:10,0,0
2023-11-01,17:13,0,0
2023-11-01,18:10,0,0
2023-11-01,19:11,0,0
2023-11-01,20:08,0,0
2023-11-01,21:19,0,0
2023-11-01,22:12,0,0
2023-11-01,23:09,0,0
2023-11-02,00:10,0,0
2023-11-02,01:13,0,0
2023-11-02,02:09,0,0
2023-11-02,03:13,0,0
2023-11-02,04:08,0,0
2023-11-02,05:10,0,0
2023-11-02,06:09,0,0
2023-11-02,07:09,0,0
2023-11-02,08:10,0,0
2023-11-02,09:46,0,0
2023-11-02,10:45,0,0
2023-11-02,11:17,0,0
2023-11-02,12:11,0,0
2023-11-02,13:12,0,0
2023-11-02,14:11,0,0
2023-11-02,15:13,0,0
2023-11-02,16:10,0,0
2023-11-02,17:13,0,0
2023-11-02,18:10,0,0
2023-11-02,19:11,0,0
2023-11-02,20:08,0,0
2023-11-02,21:19,0,0
2023-11-02,22:12,0,0
2023-11-02,23:09,0,0
2023-11-03,00:10,0,0
2023-11-03,01:13,0,0
2023-11-03,02:09,0,0
2023-11-03,03:13,0,0
2023-11-03,04:08,0,0
2023-11-03,05:10,0,0
2023-11-03,06:09,0,0
2023-11-03,07:08,0,0
2023-11-03,08:10,0,0
2023-11-03,09:47,0,0
2023-11-03,10:47,0,0
2023-11-03,11:19,0,0
2023-11-03,12:10,0,0
2023-11-03,13:12,0,0
2023-11-03,14:10,0,0
2023-11-03,15:13,0,0
2023-11-03,16:09,0,0
2023-11-03,17:13,0,0
2023-11-03,18:10,0,0
2023-11-03,19:11,0,0
2023-11-03,20:08,0,0
2023-11-03,21:19,0,0
2023-11-03,22:13,0,0
2023-11-03,23:10,0,0
2023-11-04,00:10,0,0
2023-11-04,01:13,0,0
2023-11-04,02:09,0,0
2023-11-04,03:13,0,0
2023-11-04,04:08,0,0
2023-11-04,05:11,0,0
2023-11-04,06:08,0,0
2023-11-04,07:09,0,0
2023-11-04,08:10,0,0
2023-11-04,09:46,0,0
2023-11-04,10:44,0,0
2023-11-04,11:17,0,0
2023-11-04,12:10,0,0
2023-11-04,13:12,0,0
2023-11-04,14:09,0,0
2023-11-04,15:12,0,0
2023-11-04,16:10,0,0
2023-11-04,17:12,0,0
2023-11-04,18:08,0,0
2023-11-04,19:10,0,0
2023-11-04,20:08,0,0
2023-11-04,21:17,0,0
2023-11-04,22:10,0,0
2023-11-04,23:08,0,0
2023-11-05,00:09,0,0
2023-11-05,01:11,0,0
2023-11-05,02:08,0,0
2023-11-05,03:12,0,0
2023-11-05,04:07,0,0
2023-11-05,05:09,0,0
2023-11-05,06:08,0,0
2023-11-05,07:09,0,0
2023-11-05,08:09,0,0
2023-11-05,09:51,0,0
2023-11-05,10:53,0,0
2023-11-05,11:21,0,0
2023-11-05,12:11,0,0
2023-11-05,13:12,0,0
2023-11-05,14:09,0,0
2023-11-05,15:12,0,0
2023-11-05,16:08,0,0
2023-11-05,17:12,0,0
2023-11-05,18:09,0,0
2023-11-05,19:09,0,0
2023-11-05,20:08,0,0
2023-11-05,21:17,0,0
2023-11-05,22:10,0,0
2023-11-05,23:08,0,0
2023-11-06,00:09,0,0
2023-11-06,01:12,0,0
2023-11-06,02:08,0,0
2023-11-06,03:12,0,0
2023-11-06,04:08,0,0
